,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
150,미세먼지의 위험 그리고 오염 및 중국에대한 항의,2018. 03. 24,2018. 04. 23,"278,128",2018. 05. 16,https://www1.president.go.kr/petitions/174292
151,GMO완전표시제 시행을 촉구합니다!,2018. 03. 12,2018. 04. 11,"216,886",2018. 05. 08,https://www1.president.go.kr/petitions/164255
152,다산신도시 실버택배 비용은 입주민들의 관리비로 충당해야합니다.,2018. 04. 17,2018. 05. 17,"302,082",2018. 05. 04,https://www1.president.go.kr/petitions/203181
153,국민들은 정부 개헌안을 지지합니다. 정부의 개헌을 꼭 실현시켜 주십시오.,2018. 03. 13,2018. 04. 12,"304,320",2018. 05. 02,https://www1.president.go.kr/petitions/165796
154,미혼모를 위한 히트 앤드 런 방지법을 만들어주세요. #GIRLS_CAN_DO_ANYTHING,2018. 02. 23,2018. 03. 25,"217,054",2018. 04. 24,https://www1.president.go.kr/petitions/148613
155,단역배우 자매 자살 사건 제발 재조사를 해주세여.,2018. 03. 03,2018. 04. 02,"222,770",2018. 04. 13,https://www1.president.go.kr/petitions/157046
156,고 장자연의 한맺힌 죽음의 진실을 밝혀주세요.,2018. 02. 26,2018. 03. 28,"235,796",2018. 04. 13,https://www1.president.go.kr/petitions/151430
157,"연극인 이윤택씨의 상습 성폭행, 성폭력 피의사실에 대한 철저한 진상규명과 조사를 촉구합니다.",2018. 02. 17,2018. 03. 19,"208,522",2018. 04. 13,https://www1.president.go.kr/petitions/141333
158,경제민주화,2018. 02. 08,2018. 03. 10,"207,772",2018. 04. 09,https://www1.president.go.kr/petitions/134590
159,조두순 사건의 피해자 가족을 우롱하는 윤서인을 처벌해주십시오,2018. 02. 23,2018. 03. 25,"242,687",2018. 03. 23,https://www1.president.go.kr/petitions/148806
160,일간베스트 저장소(일베) 사이트 폐쇄를 요청합니다,2018. 01. 25,2018. 02. 24,"235,167",2018. 03. 23,https://www1.president.go.kr/petitions/113699
161,대전 아파트 단지내 횡단보도 교통사고..가해자의 만행과 도로교통법의 허점,2018. 01. 14,2018. 02. 13,"219,395",2018. 03. 14,https://www1.president.go.kr/petitions/95138
162,포털사이트 ‘네이버’에 대한 철저한 수사가 필요합니다.,2018. 01. 18,2018. 02. 17,"212,992",2018. 03. 08,https://www1.president.go.kr/petitions/101349
163,국회의원 급여를 최저시급으로 책정해 주세요,2018. 01. 15,2018. 02. 14,"277,674",2018. 03. 08,https://www1.president.go.kr/petitions/96427
164,나경원 의원 평창올림픽 위원직을 파면시켜주세요,2018. 01. 20,2018. 02. 19,"360,905",2018. 03. 06,https://www1.president.go.kr/petitions/105105
165,"김보름, 박지우 선수의 자격박탈과 적폐 빙상연맹의 엄중 처벌을 청원합니다",2018. 02. 19,2018. 03. 21,"614,127",2018. 03. 06,https://www1.president.go.kr/petitions/142600
166,미성년자 성폭행 형량 올려주세요 종신형원합니다,2018. 01. 03,2018. 02. 02,"233,842",2018. 03. 02,https://www1.president.go.kr/petitions/79162
167,초.중.고 학교 페미니즘교육 의무화,2018. 01. 06,2018. 02. 05,"213,219",2018. 02. 27,https://www1.president.go.kr/petitions/81026
168,정형식 판사에 대해서 이 판결과 그 동안 판결에 대한 특별 감사를 청원합니다!!!,2018. 02. 05,2018. 03. 07,"252,969",2018. 02. 20,https://www1.president.go.kr/petitions/127921
169,<가상화폐규제반대> 정부는 국민들에게 단 한번이라도 행복한 꿈을 꾸게 해본적 있습니까?,2017. 12. 28,2018. 01. 27,"228,295",2018. 02. 14,https://www1.president.go.kr/petitions/76020
170,전안법 합리적으로 개정 또는 폐지해주세요.(소상공인 소비자 모두 죽는법안입니다.),2017. 12. 03,2018. 01. 02,"255,554",2018. 01. 25,https://www1.president.go.kr/petitions/57132
171,"전안법. 18살, 미성년자에게 정부가 직접 찍어주는 범죄자 낙인!",2017. 11. 24,2017. 12. 24,"211,064",2018. 01. 25,https://www1.president.go.kr/petitions/49083
172,"권역외상센터 (이국종 교수님) 추가적, 제도적, 환경적, 인력 지원",2017. 11. 17,2017. 12. 17,"281,985",2018. 01. 16,https://www1.president.go.kr/petitions/45581
173,조두순 출소반대,2017. 09. 06,2017. 12. 05,"615,354",2017. 12. 06,https://www1.president.go.kr/petitions/10949
174,'주취감형(술을 먹으면 형벌 감형)' 폐지를 건의(청원)합니다.,2017. 11. 04,2017. 12. 04,"216,774",2017. 12. 06,https://www1.president.go.kr/petitions/26024
175,낙태죄 폐지와 자연유산 유도약(미프진) 합법화 및 도입을 부탁드립니다.,2017. 09. 30,2017. 10. 30,"235,372",2017. 11. 26,https://www1.president.go.kr/petitions/18278
176,청소년이란 이유로 보호법을 악용하는 잔인무도한 청소년들이 늘어나고있습니다. 반드시 청소년 보호법은 폐지해야합니다.,2017. 09. 03,2017. 11. 02,"296,330",2017. 09. 25,https://www1.president.go.kr/petitions/1785
